lat,long,name
308.233,565.458,Navolato
250.781,69.281,Navojoa
537.047,76.746,Nava
243.983,876.862,Nacozari Viejo
522.981,308.968,Moroleón
523.233,285.481,Morelia
551.798,615.699,Monterrey
515.444,683.785,Monclova
44.847,539.375,Miguel Auza
501.828,255.959,Estado de Michoacán de Ocampo
49.633,46.784,Mexico
525.142,1,Mexicali
381.427,759.866,Pedro Meoqui
512.291,737.536,Melchor Múzquiz
508.783,365.569,Medina
350.985,480.713,Mazatlán
541.082,50.367,Matehuala
455.806,607.515,Matamoros
519.833,357.229,Marfil
547.714,296.032,Maravatío
419.071,253.211,Manzanillo
156.557,949.877,Rodolfo Sánchez Taboada
200.704,889.458,Magdalena de Kino
293.567,810.183,San Pedro Madera
265.674,622.348,Los Mochis
187.943,634.332,Loreto
496.694,427.627,Loreto
494.644,255.483,Lombardía
507.183,364.507,León
392.886,367.254,Las Varas
452.674,333.733,Las Pintas de Arriba
495.405,321.234,La Piedad Cavadas
222.221,530.747,La Paz
488.844,191.243,La Orilla
486.984,229.243,La Mira Tumbiscatio
498.508,376.965,Lagos de Moreno
334.944,518.761,La Cruz
551.327,335.629,La Cañada
478.331,318.064,La Barca
529.552,337.581,Santa Cruz de Juventino Rosas
559.143,614.161,Juárez
450.389,539.246,Juan Aldama
449.193,317.788,Jocotepec
47.259,301.733,Jiquílpan de Juárez
384.176,76.263,Jiménez
485.005,410.417,Jesús María
463.662,448.418,Jerez de García Salinas
527.219,322.618,Jaral del Progreso
472.991,318.242,Jamay
464.002,392.354,Jalpa
481.029,366.546,Jalostotitlán
441.353,320.444,Estado de Jalisco
418.114,359.453,Ixtlán del Río
390.613,341.618,Ixtapa
517.564,339.426,Irapuato
532.714,226.254,Huetamo de Núñez
244.241,679.321,Huatabampo
375.395,685.042,Hidalgo del Parral
550.516,270.852,Heróica Zitácuaro
201.359,927.084,Nogales
161.238,894.573,Heroica Caborca
2.002,80.515,Hermosillo
202.831,739.744,Heroica Guaymas
282.988,609.751,Guasave
529.317,357.293,Estado de Guanajuato
52.077,35.832,Guanajuato
295.706,604.035,Guamúchil
426.347,547.655,Guadalupe Victoria
553.844,615.794,Guadalupe
479.236,45.419,Guadalupe
450.419,338.877,Guadalajara
446.986,609.884,Gomez Palacio
430.856,508.426,Vicente Guerrero
271.207,620.225,Juan Jose Rios
551.925,622.337,General Escobedo
549.848,614.526,Garza García
467.587,477.858,Fresnillo
427.806,344.491,Etzatlán
371.793,458.583,Escuinapa de Hidalgo
147.361,957.899,Ensenada
488.422,386.437,Encarnación de Díaz
537.671,339.191,Empalme Escobedo
205.583,742.087,Empalme
384.733,488.803,Pueblo Nuevo
413.864,320.444,El Salto
325.368,537.238,El Rosario
453.953,332.081,El Quince
547.743,331.852,El Pueblito
423.164,291.298,El Grullo
278.016,656.701,El Fuerte de Montes Claros
319.424,540.957,El Dorado
421.829,250.119,El Colomo
440.483,344.863,Arenal
402.869,569.174,Estado de Durango
408.667,524.236,Victoria de Durango
49.139,327.833,Degollado
318.605,566.796,Culiacán
50.715,336.564,Gueramaro
33.591,766.804,Cuauhtémoc
559.429,136.695,Coyuca de Benítez
473.174,291.475,Cotija de la Paz
318.587,555.816,Villa de Costa Rica
530.614,328.555,Cortazar
43.664,258.147,Coquimatlán
400.666,370.435,Compostela
537.251,34.197,Comonfort
454.534,418.812,Colotlán
348.252,895.155,Vicente Guerrero
430.357,255.959,Estado de Colima
439.358,260.563,Colima
436.224,322.204,Cocula
458.066,234.448,Coalcomán de Vázquez Pallares
49.633,707.357,Estado de Coahuila de Zaragoza
23.439,715.819,Ciudad Obregón
497.899,342.304,Ciudad Manuel Doblado
44.604,608.078,Ciudad Lerdo
348.441,950.559,Ciudad Juárez
543.917,285.012,Ciudad Hidalgo
448.114,285.695,Ciudad Guzmán
381.863,754.715,Ciudad Delicias
177.596,58.016,Ciudad Constitución
391.718,726.431,Ciudad Camargo
55.794,702.451,Ciudad Anáhuac
540.214,211.272,Ciudad Altamirano
530.895,817.345,Ciudad Acuña
556.781,631.165,Ciénega de Flores
364.384,771.842,Estado de Chihuahua
361.452,77.932,Chihuahua
497.858,284.629,Cherán
525.552,474.914,Charcas
457.036,318.389,Chapala
552.911,436.243,Cerritos
535.396,330.957,Celaya
515.063,677.288,Castaños
41.603,280.198,Casimiro Castillo
476.807,347.752,Capilla de Guadalupe
40.485,552.173,Canatlán
222.851,909.307,Cananea
313.565,559.521,Villa Juárez
47.263,404.045,Calvillo
473.166,465.015,Víctor Rosales
490.393,250.891,Buenos Aires
171.963,624.447,Estado de Baja California Sur
418.263,289.209,Autlán de Navarro
548.018,147.623,Atoyac de Álvarez
479.526,332.464,Atotonilco el Alto
298.961,915.553,Ascención
431.539,243.308,Armeria
505.981,258.299,Ario de Rosales
553.018,209.076,Arcelia
484.905,340.998,Arandas
556.931,62.038,Apodaca
484.553,251.646,Apatzingán
53.972,332.141,Apaseo el Grande
541.772,327.306,Apaseo el Alto
339.737,770.956,Anáhuac
42.887,332.215,Ameca
534.228,763.067,Allende
561.828,593.682,Allende
45.494,318.781,Ajijic
431.195,340.787,Ahualulco de Mercado
259.711,629.229,Ahome
479.837,412.566,Estado de Aguascalientes
487.009,406.063,Aguascalientes
